YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR
2013,Massachusetts,300.568235011147,Mathematics,8
2009,Massachusetts,298.854346618482,Mathematics,8
2011,Massachusetts,298.512431105164,Mathematics,8
2007,Massachusetts,297.923344483955,Mathematics,8
2017,Massachusetts,297.0422252108,Mathematics,8
2015,Massachusetts,296.908571436848,Mathematics,8
2013,New Jersey,296.053351131027,Mathematics,8
2013,New Hampshire,295.665123344221,Mathematics,8
2013,Vermont,295.469562357463,Mathematics,8
2011,Minnesota,294.946422810345,Mathematics,8
2013,Minnesota,294.592972603507,Mathematics,8
2009,Minnesota,294.443320106986,Mathematics,8
2015,New Hampshire,294.413018726344,Mathematics,8
2015,Minnesota,294.147777973073,Mathematics,8
2011,New Jersey,294.138771366004,Mathematics,8
2017,Minnesota,293.962375743927,Mathematics,8
2011,Vermont,293.882577068531,Mathematics,8
2015,New Jersey,293.36593817877,Mathematics,8
2017,New Hampshire,293.290654433387,Mathematics,8
2011,Montana,292.907804277033,Mathematics,8
2009,Vermont,292.866096352356,Mathematics,8
2009,North Dakota,292.842488544915,Mathematics,8
2009,New Jersey,292.657227109585,Mathematics,8
2009,New Hampshire,292.321817220053,Mathematics,8
2011,New Hampshire,292.10873973776,Mathematics,8
2011,North Dakota,291.998404485775,Mathematics,8
2007,Minnesota,291.85111653854,Mathematics,8
2011,Colorado,291.7426728709,Mathematics,8
2017,New Jersey,291.698552399307,Mathematics,8
2007,North Dakota,291.561611918756,Mathematics,8
2009,Montana,291.542942879491,Mathematics,8
2005,Massachusetts,291.5135411152,Mathematics,8
2007,Vermont,291.010773791979,Mathematics,8
2003,Minnesota,290.680055978624,Mathematics,8
2009,South Dakota,290.619127707892,Mathematics,8
2011,South Dakota,290.61519679044,Mathematics,8
2013,North Dakota,290.515111260981,Mathematics,8
2015,Vermont,290.355191159079,Mathematics,8
2011,Texas,290.346709355265,Mathematics,8
2017,Virginia,290.081407427647,Mathematics,8
2005,Minnesota,290.074995791089,Mathematics,8
2007,Kansas,290.032599829257,Mathematics,8
2013,Washington,289.956988743835,Mathematics,8
2013,Colorado,289.68180010958,Mathematics,8
2013,Pennsylvania,289.623651633339,Mathematics,8
2011,Kansas,289.61928267474,Mathematics,8
2013,Ohio,289.528096752185,Mathematics,8
2013,Kansas,289.518256078135,Mathematics,8
2011,Virginia,289.255411153431,Mathematics,8
2013,Montana,289.228453008852,Mathematics,8
2017,Washington,289.131257183192,Mathematics,8
2015,Wisconsin,289.077749211995,Mathematics,8
